Season,Month,Bee Nr,Plant Nr,Collection Day,Year
wet,Oct,6,149,1,2008
wet,Oct,6,149,1,2008
wet,Oct,16,149,1,2008
wet,Oct,16,149,1,2008
wet,Oct,31,202,1,2008
wet,Oct,16,149,2,2008
wet,Oct,56,126,2,2008
wet,Oct,91,126,2,2008
wet,Oct,16,175,2,2008
wet,Oct,6,140,3,2008
wet,Oct,91,125,4,2008
wet,Nov,19,131,5,2008
wet,Nov,16,182,5,2008
wet,Nov,16,182,5,2008
wet,Nov,17,182,5,2008
wet,Nov,17,182,5,2008
wet,Nov,82,182,5,2008
wet,Nov,37,184,5,2008
wet,Nov,91,121,6,2008
wet,Nov,91,122,6,2008
wet,Nov,17,131,6,2008
wet,Nov,19,131,6,2008
wet,Nov,31,131,6,2008
wet,Nov,31,131,6,2008
wet,Nov,45,131,6,2008
wet,Nov,53,131,6,2008
wet,Nov,81,148,6,2008
wet,Nov,50,157,6,2008
wet,Nov,42,165,6,2008
wet,Nov,16,182,6,2008
wet,Nov,16,182,6,2008
wet,Nov,17,182,6,2008
wet,Nov,17,182,6,2008
wet,Nov,17,182,6,2008
wet,Nov,41,182,6,2008
wet,Nov,16,193,6,2008
wet,Nov,26,193,6,2008
wet,Nov,29,193,6,2008
wet,Nov,30,193,6,2008
wet,Nov,31,193,6,2008
wet,Nov,31,193,6,2008
wet,Nov,52,193,6,2008
wet,Nov,71,193,6,2008
wet,Nov,62,203,6,2008
wet,Nov,91,121,7,2008
wet,Nov,91,121,7,2008
wet,Nov,16,131,7,2008
wet,Nov,16,131,7,2008
wet,Nov,13,147,7,2008
wet,Nov,67,148,7,2008
wet,Nov,66,152,7,2008
wet,Nov,10,182,7,2008
wet,Nov,16,182,7,2008
wet,Nov,31,182,7,2008
wet,Nov,16,193,7,2008
wet,Nov,26,193,7,2008
wet,Nov,31,193,7,2008
wet,Nov,52,193,7,2008
wet,Nov,59,193,7,2008
wet,Nov,82,193,7,2008
wet,Nov,90,193,7,2008
wet,Nov,8,117,7,2008
wet,Nov,51,117,7,2008
wet,Nov,104,117,7,2008
wet,Nov,80,152,7,2008
wet,Nov,80,171,7,2008
wet,Nov,20,193,7,2008
wet,Nov,21,193,7,2008
wet,Nov,30,193,7,2008
wet,Nov,54,193,7,2008
wet,Nov,54,193,7,2008
wet,Nov,59,193,7,2008
wet,Nov,67,193,7,2008
wet,Nov,108,204,7,2008
wet,Nov,41,193,8,2008
wet,Nov,90,121,8,2008
wet,Nov,105,121,8,2008
wet,Nov,7,122,8,2008
wet,Nov,32,122,8,2008
wet,Nov,66,165,8,2008
wet,Nov,69,174,8,2008
wet,Nov,53,182,8,2008
wet,Nov,88,182,8,2008
wet,Nov,54,183,8,2008
wet,Nov,54,183,8,2008
wet,Dec,54,183,9,2008
wet,Dec,60,183,9,2008
wet,Dec,62,183,9,2008
wet,Dec,54,192,9,2008
wet,Dec,98,143,9,2008
wet,Dec,65,144,9,2008
wet,Dec,66,152,9,2008
wet,Dec,66,152,9,2008
wet,Dec,67,152,9,2008
wet,Dec,67,152,9,2008
wet,Dec,82,152,9,2008
wet,Dec,83,152,9,2008
wet,Dec,91,152,9,2008
wet,Dec,102,152,9,2008
wet,Dec,102,152,9,2008
wet,Dec,16,182,9,2008
wet,Dec,35,182,9,2008
